,NN,NNS,JJ,VB,VBD,VBG,VBN,VBP,VBZ,total-frequency,is_excluded,wikipedia2-frequency,aonewsela-frequency,wikipedia1-frequency,aochildes-frequency,wikipedia3-frequency
potential,1814,0,2677,0,0,0,0,0,0,4499,False,1317,638,1268,1,1275
degree,4456,0,14,4,0,0,0,8,0,4497,False,1260,594,1329,3,1311
shown,0,0,0,0,13,0,4482,0,0,4496,False,1307,552,1309,12,1316
takes,0,69,0,0,0,0,0,0,4427,4496,False,1030,1120,1036,290,1020
cross,1678,2,1018,784,0,0,22,189,0,4496,False,1256,502,1221,136,1381
hands,0,4431,0,0,0,0,0,0,55,4487,False,736,914,699,1412,726
daughter,4464,0,0,1,0,0,0,0,0,4486,False,1083,1062,1180,80,1081
analysis,4403,0,0,0,0,0,0,0,0,4483,False,1419,324,1361,1,1378
spread,1097,0,3,1005,1116,0,983,251,0,4482,False,1060,1256,1056,68,1042
rise,3409,0,2,815,0,0,0,254,0,4480,False,1171,735,1287,29,1258
stars,0,4289,0,0,0,0,0,0,144,4476,False,1179,702,1187,202,1206
talk,1004,0,1,2902,0,0,0,510,0,4473,False,339,1322,356,2084,372
chemical,2776,0,1326,0,0,0,0,0,0,4470,False,1261,663,1232,3,1311
initially,0,0,0,0,0,0,0,0,0,4470,False,1439,236,1389,0,1406
square,1418,0,1992,18,0,0,0,2,0,4463,False,1160,497,1144,521,1141
blood,4451,0,2,0,0,0,0,0,0,4458,False,1283,692,1228,54,1201
mainly,0,0,2,0,0,0,0,0,0,4451,False,1384,307,1413,3,1344
spent,0,0,1,0,2995,0,1453,0,0,4449,False,966,1520,945,29,989
marriage,4427,0,0,3,0,0,0,2,0,4448,False,1286,572,1313,3,1274
places,0,4000,0,0,0,0,0,0,439,4448,False,960,1416,942,116,1014
piece,4402,0,0,29,0,0,0,1,0,4446,False,701,621,662,1726,736
signed,0,0,11,0,2282,0,2151,0,0,4444,False,1317,538,1311,11,1267
bad,0,0,4415,0,0,0,0,0,0,4440,False,454,1858,493,1152,483
19,0,0,0,0,0,0,0,0,0,4435,True,1252,510,1323,0,1350
2002,0,0,0,0,0,0,0,0,0,4433,True,1399,296,1345,0,1393
fell,4,0,11,1,4407,0,4,0,0,4430,False,788,632,813,1382,815
hot,0,0,4384,0,0,0,0,0,0,4427,False,774,738,802,1342,771
article,4260,0,0,0,0,0,0,0,0,4413,False,1397,301,1397,9,1309
angeles,0,2,0,0,0,0,0,0,0,4409,False,743,2213,725,2,726
institute,522,0,1,44,0,0,0,1,0,4404,False,1141,1011,1152,1,1099
simply,0,0,0,0,0,0,0,0,0,4396,False,1145,862,1240,18,1131
dog,4195,0,3,24,0,0,0,1,0,4392,False,416,939,428,2202,407
defense,3189,0,2,1,0,0,0,0,0,4392,False,1155,755,1243,1,1238
ship,4204,0,44,98,0,0,0,13,0,4389,False,1207,640,1166,174,1202
latter,679,0,3693,0,0,0,0,0,0,4387,False,1487,49,1408,0,1443
appear,11,0,0,2380,0,0,0,1988,0,4380,False,1346,477,1300,9,1248
mark,1270,0,6,724,0,0,0,144,0,4380,False,1012,740,1050,581,997
giving,110,0,4,0,0,4252,0,0,0,4367,False,971,990,994,412,1000
winter,3823,0,7,5,0,1,0,1,0,4367,False,1134,1016,1006,195,1016
married,0,0,982,0,1573,0,1237,0,0,4364,False,1296,449,1319,64,1236
activity,4333,0,2,0,0,0,0,0,0,4359,False,1304,514,1281,7,1253
knowledge,4340,0,0,9,0,0,0,0,0,4357,False,1339,349,1368,9,1292
classical,2,0,4239,0,0,0,0,0,0,4357,False,1399,108,1416,0,1434
approach,3962,0,0,246,0,0,0,124,0,4356,False,1224,694,1217,4,1217
cell,4339,0,2,1,0,0,0,0,0,4355,False,1381,317,1346,14,1297
divided,0,0,100,0,421,0,3831,0,0,4353,False,1397,238,1343,2,1373
suggested,0,0,16,0,2490,0,1846,0,0,4352,False,1243,574,1234,17,1284
anything,4341,0,0,0,0,0,0,0,0,4342,False,469,1428,496,1504,445
ability,4341,0,0,0,0,0,0,0,0,4341,False,1182,806,1187,5,1161
apple,2544,0,5,12,0,0,0,0,0,4339,False,698,896,704,1344,697
plans,0,3402,0,0,0,0,0,0,934,4338,False,904,1740,806,27,861
memory,4331,0,1,0,0,0,0,0,0,4337,False,1292,401,1241,52,1351
previously,0,0,2,0,0,0,0,0,0,4329,False,1315,411,1279,1,1323
watch,763,0,0,2940,0,0,0,467,0,4327,False,277,975,282,2491,302
letters,0,4313,0,0,0,0,0,0,0,4314,False,1155,416,1159,451,1133
round,1888,0,1542,61,0,0,0,18,0,4310,False,962,399,1028,901,1020
plant,4012,0,1,211,0,0,0,16,0,4307,False,1054,922,1095,196,1040
date,4138,0,7,65,0,0,0,81,0,4304,False,1302,328,1284,43,1347
21,0,0,0,0,0,0,0,0,0,4302,True,1298,484,1239,0,1281
relatively,0,0,0,0,0,0,0,0,0,4301,False,1335,328,1301,2,1335
spain,14,0,3,3,0,0,0,0,0,4298,False,1382,295,1313,7,1301
feet,0,4294,0,0,0,0,0,0,0,4297,False,501,1770,462,1130,434
weeks,0,4289,0,0,0,0,0,0,0,4291,False,859,1467,887,174,904
continue,2,0,0,3034,0,0,0,1248,0,4284,False,1032,1129,1062,20,1041
figure,3211,0,3,978,0,0,0,76,0,4283,False,946,1038,1032,245,1022
speech,4254,0,3,1,0,0,0,0,0,4282,False,1094,914,1129,13,1132
hair,4266,0,0,0,0,0,0,0,0,4282,False,388,764,423,2324,383
contains,0,35,0,0,0,0,0,0,4246,4281,False,1334,271,1362,0,1314
republican,25,0,2135,0,0,0,0,0,0,4275,False,968,1366,956,2,983
collection,4212,0,0,0,0,0,0,0,0,4274,False,1183,561,1251,28,1251
ideas,0,4259,1,0,0,0,0,0,0,4268,False,1116,821,1118,59,1154
question,3857,0,0,241,0,0,0,158,0,4268,False,981,1224,890,308,865
quality,4168,0,15,0,0,0,0,0,0,4267,False,1203,607,1226,3,1228
feel,234,0,0,2367,0,0,0,1663,0,4265,False,376,1948,372,1177,392
deal,2883,0,0,1143,0,0,0,222,0,4265,False,927,1270,993,139,936
male,1017,0,3062,1,0,0,0,0,0,4264,False,1145,754,1149,14,1202
argued,0,0,2,0,2979,0,1278,0,0,4259,False,1258,531,1244,4,1222
ones,0,4243,0,0,0,0,0,0,10,4257,False,730,947,701,1178,701
novel,3660,0,572,0,0,0,0,1,0,4256,False,1318,169,1364,4,1401
currently,0,0,0,0,0,0,0,0,0,4256,False,1213,584,1269,0,1190
efforts,0,4247,0,0,0,0,0,0,1,4248,False,1107,1032,1055,0,1054
pre,294,49,3535,139,15,0,124,8,7,4246,False,1336,186,1356,4,1364
richard,19,0,0,0,0,0,0,0,0,4245,False,1224,534,1187,153,1147
revolution,2747,0,11,0,0,0,0,0,0,4232,False,1336,284,1263,1,1348
fourth,102,0,3444,1,0,0,0,0,0,4230,True,1263,446,1215,64,1242
tax,4057,0,29,48,0,0,0,9,0,4213,False,1200,528,1262,2,1221
loss,4193,0,0,7,0,0,0,1,0,4212,False,1217,572,1199,3,1221
fast,87,0,2279,75,0,0,0,26,0,4207,False,684,1471,661,701,690
1999,0,0,0,0,0,0,0,0,0,4205,True,1346,161,1333,0,1365
executive,1110,0,2634,0,0,0,0,1,0,4201,False,1051,998,1064,4,1084
primarily,0,0,4,0,0,0,0,0,0,4201,False,1339,149,1329,2,1382
thousands,0,4189,0,0,0,0,0,0,2,4191,False,754,1941,734,8,754
distance,4005,0,0,100,0,0,0,3,0,4174,False,1250,348,1238,24,1314
milk,4141,0,0,20,0,0,0,3,0,4173,False,424,691,380,2248,430
attempt,3383,0,0,561,0,0,0,224,0,4169,False,1289,310,1256,2,1312
mission,3995,0,16,5,0,0,0,2,0,4169,False,1097,881,1074,7,1110
environment,4014,0,0,0,0,0,0,0,0,4169,False,1050,887,1101,2,1129
needs,0,1530,0,5,0,0,0,0,2632,4167,False,648,1433,647,797,642
looks,0,130,0,0,0,0,0,0,4035,4166,False,174,739,163,2916,174
functions,0,4064,0,0,0,0,0,0,93,4162,False,1389,78,1392,0,1303
remain,18,0,0,1969,0,0,2,2168,0,4158,False,1121,825,1141,4,1067
moving,71,0,67,0,0,4017,0,0,0,4156,False,950,1044,948,267,947
wait,144,0,0,3623,0,0,0,382,0,4155,False,171,603,163,3079,139
attention,4152,0,0,0,0,0,0,0,0,4152,False,832,1486,880,66,888
friend,4115,0,0,12,0,0,0,1,0,4135,False,928,633,891,817,866
powers,0,4107,1,0,0,0,0,0,8,4124,False,1360,184,1303,15,1262
dead,330,49,3654,0,1,0,0,3,0,4124,False,1038,859,1035,146,1046
attacks,0,3974,0,0,0,0,0,0,134,4120,False,986,1118,1013,2,1001
win,905,0,0,2945,0,0,0,180,0,4118,False,1050,850,1025,119,1074
launched,0,0,17,0,2210,0,1890,0,0,4117,False,1154,656,1164,2,1141
wants,0,8,0,0,0,0,0,0,4108,4116,False,151,2245,135,1450,135
am,314,0,7,12,0,0,0,3337,0,4110,True,686,720,695,1306,703
arts,2,3803,0,0,0,0,0,0,34,4106,False,1230,428,1213,5,1230
carried,0,0,1,0,1582,0,2519,0,0,4102,False,1178,443,1224,51,1206
weapons,0,4074,3,0,0,0,0,0,2,4101,False,1056,897,1055,6,1087
share,1833,0,0,1360,0,0,0,890,0,4098,False,987,783,1001,341,986
heart,4044,0,0,2,0,0,0,0,0,4095,False,950,949,924,277,995
louis,6,0,0,0,0,0,0,0,0,4093,False,1137,543,1217,8,1188
songs,0,4087,0,0,0,0,0,0,0,4093,False,1200,336,1235,156,1166
islamic,0,0,2940,0,0,0,0,0,0,4090,False,880,1247,979,0,984
section,4006,0,8,2,0,0,0,4,0,4089,False,1259,254,1311,19,1246
agreed,0,0,3,0,3094,0,988,0,0,4085,False,1173,717,1081,18,1096
becoming,10,0,0,0,0,4074,0,0,0,4084,False,1107,694,1161,10,1112
professor,2982,0,0,1,0,0,0,0,0,4082,False,765,1812,700,14,791
failed,2,0,89,0,2774,0,1216,0,0,4081,False,1165,639,1134,6,1137
charge,3640,0,0,353,0,0,0,81,0,4080,False,1003,1031,1040,45,961
elections,0,4067,0,0,0,0,0,0,1,4080,False,1271,293,1263,0,1253
completed,0,0,3,0,1093,0,2983,0,0,4079,False,1288,248,1293,1,1249
michael,0,0,0,0,0,0,0,1,0,4076,False,948,906,938,370,914
super,86,9,2659,2,0,0,0,0,0,4076,False,1156,419,1168,194,1139
literature,3920,0,1,17,0,0,0,1,0,4076,False,1247,151,1332,1,1345
saint,1083,0,4,7,0,0,0,1,0,4076,False,1319,95,1316,14,1332
regional,1,0,3870,0,0,0,0,0,0,4074,False,1222,240,1363,0,1249
flight,3780,0,17,3,0,0,0,0,0,4069,False,1050,872,1083,9,1055
iii,130,7,0,2,0,0,0,0,0,4068,False,1268,153,1348,0,1299
grand,18,0,2333,0,0,0,0,0,0,4050,False,1161,502,1181,43,1163
moon,3441,0,0,2,0,0,0,0,0,4047,False,945,555,950,640,957
drive,1990,0,2,1662,0,0,0,293,0,4046,False,815,988,808,583,852
activities,0,4000,0,0,0,0,0,0,3,4044,False,1147,515,1180,6,1196
appointed,0,0,6,0,886,0,3144,0,0,4036,False,1323,93,1309,1,1310
jews,0,3,30,0,0,0,0,0,0,4034,False,1202,446,1180,0,1206
annual,8,0,3988,0,0,0,0,0,0,4033,False,1215,545,1131,2,1140
provides,0,10,0,1,0,0,0,0,4020,4031,False,1207,430,1228,1,1165
justice,2324,0,0,0,0,0,0,0,0,4027,False,1015,1024,990,2,996
soldiers,0,4023,0,0,0,0,0,0,0,4024,False,1010,936,1028,27,1023
tried,0,0,2,0,2999,0,1023,0,0,4024,False,837,1300,809,212,866
applied,0,0,373,0,1027,0,2555,0,0,4023,False,1225,308,1251,3,1236
responsible,0,0,4019,1,0,0,0,1,0,4022,False,1042,681,1128,2,1169
cars,0,4014,0,0,0,0,0,0,1,4020,False,638,1509,604,615,654
closed,1,0,1215,0,1049,0,1748,0,0,4013,False,951,601,1024,402,1035
properties,0,4011,0,0,0,0,0,0,0,4012,False,1300,133,1277,0,1302
double,31,0,3399,243,0,0,0,7,0,4011,False,1177,367,1175,70,1222
increasing,0,0,5,0,0,4005,0,0,0,4010,False,1217,480,1129,0,1184
digital,18,0,3132,1,0,0,0,0,0,4010,False,1146,730,1026,2,1106
buildings,0,4001,0,0,0,0,0,0,0,4004,False,1000,961,999,59,985
+,25,23,2,0,0,0,0,0,0,4001,True,1288,19,1324,0,1370
professional,104,0,3592,0,0,0,0,0,0,4000,False,1178,474,1187,4,1157
positive,0,0,3994,1,0,0,0,0,0,3996,False,1144,523,1160,10,1159
account,3162,0,0,433,0,0,0,357,0,3985,False,1245,373,1185,2,1180
objects,0,3922,0,0,0,0,0,0,59,3984,False,1155,439,1193,13,1184
press,2668,0,0,418,0,0,0,71,0,3982,False,1013,560,1051,392,966
influenced,0,0,3,0,844,0,3120,0,0,3982,False,1300,93,1267,0,1322
scholars,0,3899,0,0,0,0,0,0,2,3979,False,1264,195,1302,0,1218
declared,0,0,26,0,2676,0,1277,0,0,3979,False,1146,547,1213,2,1071
musical,2,0,3901,0,0,0,0,0,0,3978,False,1231,210,1250,36,1251
freedom,3635,0,1,0,0,0,0,0,0,3978,False,1092,734,1065,7,1080
reduced,0,0,479,0,696,0,2799,0,0,3976,False,1197,337,1215,2,1225
pacific,0,0,122,0,0,0,0,0,0,3971,False,1037,761,1080,8,1085
necessary,0,0,3969,0,0,0,0,0,0,3969,False,1107,530,1149,9,1174
ships,0,3956,0,0,0,0,0,0,12,3969,False,1180,369,1198,32,1190
texas,0,0,1,0,0,0,0,0,0,3968,False,775,1561,782,99,751
store,3250,0,1,567,0,0,0,77,0,3967,False,529,1028,530,1324,556
safety,3430,0,2,3,0,0,0,0,0,3962,False,682,1752,774,26,728
deep,9,0,3281,2,0,0,0,0,0,3959,False,977,919,1003,129,931
upper,6,0,3485,1,0,0,0,0,0,3955,False,1244,191,1297,9,1214
prior,26,0,692,4,0,0,0,0,0,3951,False,1293,98,1297,4,1259
philosophy,3904,0,1,1,0,0,0,0,0,3948,False,1332,39,1296,5,1276
resulting,7,0,0,0,0,3940,0,0,0,3947,False,1299,74,1237,0,1337
minutes,0,3945,0,0,0,0,0,0,1,3946,False,738,1134,709,541,824
h,1653,2,1,10,0,0,0,0,5,3945,True,1230,56,1197,279,1183
location,3929,0,5,0,0,0,0,0,0,3944,False,1134,351,1228,1,1230
definition,3905,0,0,0,0,0,0,0,0,3936,False,1250,130,1290,3,1263
airport,1875,0,0,4,0,0,0,1,0,3935,False,1059,526,1138,110,1102
girls,0,3906,0,0,0,0,0,0,0,3935,False,351,2454,370,374,386
magazine,3759,0,0,2,0,0,0,1,0,3935,False,1126,430,1089,150,1140
accepted,0,0,175,0,1378,0,2376,0,0,3933,False,1236,276,1220,5,1196
meeting,3167,0,1,0,0,685,0,0,0,3932,False,999,873,979,66,1015
individuals,0,3930,0,0,0,0,0,0,1,3931,False,1240,291,1161,0,1239
income,3910,0,0,5,0,0,0,1,0,3917,False,1022,775,1045,2,1073
except,0,0,0,0,0,0,0,0,0,3916,False,1140,307,1092,233,1144
classes,0,3899,0,0,0,0,0,0,16,3916,False,800,1497,793,19,807
electric,12,0,3463,1,0,0,0,0,0,3916,False,1185,416,1146,33,1136
nothing,3915,0,0,0,0,0,0,0,0,3915,False,686,1102,743,698,686
command,2948,0,0,174,0,0,0,20,0,3915,False,1271,172,1185,3,1284
author,3890,0,0,11,0,0,0,1,0,3910,False,1003,736,1077,4,1090
ireland,5,0,1,39,0,0,0,2,0,3908,False,1284,139,1186,20,1279
exist,39,0,0,1733,0,0,0,2134,0,3907,False,1221,345,1187,4,1150
management,3586,0,3,0,0,0,0,0,0,3907,False,1193,416,1132,4,1162
carbon,3895,0,4,2,0,0,0,2,0,3906,False,1159,424,1112,2,1209
online,99,0,2339,4,0,0,0,1,0,3905,False,695,1860,686,3,661
element,3842,0,6,8,0,0,0,2,0,3903,False,1375,139,1174,1,1214
1998,0,0,0,0,0,0,0,0,0,3900,True,1262,181,1252,0,1205
origin,3802,0,9,0,0,0,0,0,0,3897,False,1277,98,1322,0,1200
appears,0,19,0,0,0,0,0,0,3869,3893,False,1149,361,1162,6,1215
port,3481,0,11,57,0,0,0,1,0,3892,False,1192,164,1220,4,1312
calendar,2303,0,0,2,0,0,0,0,0,3891,False,1250,76,1195,48,1322
morning,3860,0,1,0,0,2,0,0,0,3890,False,452,912,429,1659,438
ad,3596,0,2,6,0,0,0,0,0,3889,False,1237,164,1262,5,1221
break,1236,0,2,2256,0,0,0,365,1,3885,False,690,809,727,921,738
decades,0,3880,0,0,0,0,0,0,4,3884,False,878,1135,963,0,908
notable,6,0,3870,0,0,0,0,0,0,3876,False,1233,48,1327,0,1268
industrial,8,0,3433,0,0,0,0,0,0,3874,False,1240,174,1230,0,1230
artists,0,3807,0,0,0,0,0,0,1,3873,False,984,841,1040,3,1005
critical,1,0,3865,0,0,0,0,0,0,3869,False,1136,448,1190,2,1093
image,3825,0,4,30,0,0,0,1,0,3867,False,1121,450,1102,6,1188
muslim,52,0,2263,0,0,0,0,0,0,3861,False,1088,705,993,0,1075
fields,1,3798,0,0,0,0,0,0,46,3859,False,977,823,1049,11,999
yellow,421,0,3163,8,0,0,0,1,0,3857,False,553,306,565,1898,535
assembly,1940,0,0,1,0,0,0,0,0,3855,False,1241,102,1271,0,1241
opposition,3811,0,0,1,0,0,0,0,0,3854,False,1175,339,1165,2,1173
commission,1554,0,0,40,0,0,0,1,0,3852,False,1095,437,1106,1,1213
ah,3,7,2,0,0,0,0,0,0,3851,False,111,33,120,3463,124
reach,442,0,0,3009,0,0,0,394,0,3849,False,858,965,848,331,847
22,0,0,0,0,0,0,0,0,0,3849,True,1147,429,1130,0,1143
shot,1228,0,31,2,856,0,1692,0,0,3849,False,821,1209,824,127,868
beyond,8,0,0,0,0,0,0,0,0,3848,False,1029,760,1043,22,994
armed,0,0,3171,0,27,0,358,0,0,3844,False,1154,385,1150,1,1154
offered,0,0,2,0,2121,0,1719,0,0,3842,False,1099,694,1012,8,1029
everything,3841,0,0,0,0,0,0,0,0,3841,False,491,1441,428,1070,411
goal,3812,0,2,0,0,0,0,0,0,3835,False,901,1182,876,12,864
object,3640,0,3,104,0,0,0,69,0,3832,False,1213,172,1237,9,1201
presidential,1,0,3790,0,0,0,0,0,0,3829,False,1057,609,1103,0,1060
equipment,3763,0,0,8,0,0,0,1,0,3823,False,1001,741,1040,35,1006
transport,3316,0,1,330,0,0,0,36,0,3821,False,1226,135,1225,7,1228
dna,2430,0,0,26,0,0,0,7,0,3806,False,965,935,918,0,988
generation,3763,0,5,0,0,0,0,0,0,3801,False,1070,795,926,3,1007
bird,3203,0,2,0,0,0,0,0,0,3795,False,372,377,360,2290,396
fighting,1843,0,0,0,0,1947,0,0,0,3792,False,795,1301,784,91,821
conflict,3717,0,18,40,0,0,0,8,0,3785,False,1088,457,1104,1,1135
fight,1486,0,20,2079,0,0,2,170,0,3785,False,703,1576,647,150,709
gives,0,10,0,0,0,0,0,0,3765,3775,False,859,922,913,113,968
intended,0,0,178,0,630,0,2957,0,0,3769,False,1148,229,1183,1,1208
grew,0,0,0,0,3761,0,2,0,0,3763,False,871,983,920,86,903
birth,3676,0,6,12,0,0,0,0,0,3758,False,1089,386,1131,15,1137
equal,1,0,3611,96,0,0,0,16,0,3757,False,1139,344,1115,6,1153
urban,0,0,3395,0,0,0,0,0,0,3750,False,1109,336,1139,3,1163
push,772,0,1,2643,0,0,0,303,0,3745,False,212,694,214,2414,211
normal,2,0,3730,0,0,0,0,0,0,3742,False,1039,622,1049,19,1013
operating,1886,0,11,0,0,1830,0,0,0,3735,False,1180,224,1161,4,1166
convention,3063,0,1,0,0,0,0,0,0,3733,False,1163,183,1179,1,1207
floor,3724,0,0,1,0,0,0,0,0,3733,False,526,635,507,1579,486
presence,3725,0,1,0,0,0,0,0,0,3730,False,1177,278,1121,1,1153
initial,39,0,3682,0,0,0,0,0,0,3729,False,1158,191,1212,0,1168
pass,1171,0,3,2057,0,0,0,351,0,3727,False,881,870,934,78,964
allows,0,13,0,0,0,0,0,0,3709,3725,False,1075,535,1031,0,1084
travel,1924,0,0,1305,0,0,0,417,0,3724,False,923,992,899,26,884
iron,3524,0,2,42,0,0,0,2,0,3723,False,1152,191,1129,98,1153
difference,3716,0,0,2,0,0,0,0,0,3720,False,896,912,901,96,915
heat,3347,0,0,210,0,0,0,58,0,3719,False,892,837,947,80,963
jobs,0,3670,0,0,0,0,0,0,1,3717,False,458,2278,498,8,475
frequently,0,0,0,0,0,0,0,0,0,3715,False,1195,244,1159,3,1114
brain,3656,0,0,4,0,0,0,3,0,3713,False,740,1412,728,33,800
values,0,3682,0,0,0,0,0,0,30,3713,False,1160,222,1207,1,1123
materials,0,3706,0,0,0,0,0,0,0,3710,False,1057,507,1110,4,1032
23,0,0,0,0,0,0,0,0,0,3710,True,1115,425,1082,0,1088
featured,0,0,132,0,2276,0,1293,0,0,3710,False,1215,251,1110,0,1134
secretary,1895,0,3,0,0,0,0,0,0,3705,False,1033,638,1021,3,1010
bowl,2979,0,1,48,0,0,0,63,0,3696,False,923,312,893,678,890
applications,0,3688,0,0,0,0,0,0,0,3694,False,1183,145,1198,0,1168
track,3062,0,5,513,0,0,0,51,0,3693,False,828,829,857,355,824
conference,3200,0,6,0,0,0,0,0,0,3687,False,999,601,1030,7,1050
direction,3682,0,0,0,0,0,0,1,0,3687,False,1122,401,1083,53,1028
cat,3064,0,0,12,0,0,0,2,0,3682,False,228,275,236,2734,209
claims,0,2369,0,0,0,0,0,0,1289,3680,False,1107,445,1068,1,1059
feature,2734,0,0,437,0,0,0,509,0,3680,False,1192,170,1155,2,1161
valley,733,0,1,0,0,0,0,0,0,3675,False,914,851,946,53,911
staff,3391,0,0,14,0,0,0,7,0,3670,False,972,797,932,5,964
cover,1905,0,5,1263,0,0,0,462,0,3668,False,904,564,938,407,855
stone,3201,0,1,14,0,0,0,0,0,3666,False,1046,402,1082,124,1012
protection,3319,0,0,1,0,0,0,0,0,3662,False,1019,610,1047,2,984
toward,0,0,0,0,0,0,0,0,0,3661,False,843,1152,772,55,839
identified,0,0,10,0,843,0,2803,0,0,3660,False,1070,408,1060,0,1122
1997,0,0,0,0,0,0,0,0,0,3657,True,1164,119,1183,0,1191
hey,18,0,1,0,0,0,0,0,0,3654,False,29,78,40,3457,50
resources,0,3547,0,0,0,0,0,0,1,3636,False,986,561,1023,2,1064
1990,0,0,1,0,0,0,0,0,0,3636,True,1102,211,1207,0,1116
engineering,3334,0,2,1,0,89,0,0,0,3635,False,1043,487,1029,0,1076
models,0,3610,0,0,0,0,0,0,22,3633,False,1090,371,1070,0,1102
derived,0,0,6,0,247,0,3377,0,0,3630,False,1193,22,1172,0,1243
combined,0,0,371,0,284,0,2966,0,0,3630,False,1131,255,1123,1,1120
dutch,277,17,2384,27,0,0,0,1,0,3626,True,1097,183,1119,56,1171
impact,3411,0,2,158,0,0,0,31,0,3625,False,943,724,963,0,995
stand,634,0,0,2458,0,0,0,523,0,3624,False,583,745,648,1033,615
prevent,23,0,6,3417,0,0,0,174,0,3624,False,988,740,948,4,944
communities,0,3613,0,0,0,0,0,0,0,3620,False,946,837,917,0,920
kept,0,0,0,0,1912,0,1703,0,0,3616,False,847,1011,805,139,814
focus,2165,0,37,1031,0,0,0,343,0,3614,False,938,775,950,5,946
alone,0,0,868,0,0,0,0,0,0,3609,False,763,852,853,341,800
powerful,0,0,3605,0,0,0,0,0,0,3606,False,972,698,977,12,947
raised,0,0,1,0,1267,0,2338,0,0,3606,False,867,969,913,8,849
agency,2531,0,6,0,0,0,0,0,0,3596,False,700,1531,707,1,657
movie,3519,0,1,1,0,0,0,0,0,3593,False,775,886,720,512,700
wall,2848,0,5,2,0,0,0,0,0,3592,False,825,661,848,433,825
academy,1337,0,0,0,0,0,0,0,0,3591,False,1000,538,1022,0,1031
writer,3075,0,23,5,0,0,0,0,0,3584,False,948,761,928,9,938
buy,68,0,0,3103,0,0,0,409,0,3583,False,300,1466,292,1246,279
tour,3233,0,1,175,0,0,0,37,0,3578,False,1061,315,1109,9,1084
chair,3427,0,2,11,0,0,0,2,0,3578,False,246,189,255,2613,275
page,3486,0,6,10,0,0,0,4,0,3575,False,690,328,707,1149,701
speaking,425,0,11,0,0,3134,0,0,0,3571,False,966,540,980,38,1047
reference,3498,0,1,45,0,0,0,14,0,3571,False,1155,92,1143,5,1176
felt,3,0,10,2,3028,0,511,0,0,3568,False,760,1043,807,123,835
sexual,0,0,3564,0,0,0,0,0,0,3566,False,1150,96,1197,0,1123
represented,0,0,8,0,1139,0,2419,0,0,3566,False,1113,174,1119,0,1160
smith,16,0,1,3,0,0,0,0,0,3566,False,941,708,970,30,917
minute,3457,0,101,1,0,0,0,1,0,3565,False,445,280,449,1962,429
bed,3520,0,0,2,2,0,0,0,0,3562,False,225,215,236,2664,222
occur,9,0,0,2151,0,0,0,1402,0,3562,False,1182,163,1102,0,1115
province,2609,0,4,0,0,0,0,0,0,3561,False,1122,163,1130,0,1146
owned,0,0,8,0,653,0,2897,0,0,3561,False,1014,454,1005,8,1080
1996,0,0,0,0,0,0,0,0,0,3559,True,1165,114,1160,0,1120
distribution,3548,0,0,0,0,0,0,0,0,3557,False,1194,66,1118,0,1179
bus,3327,0,0,3,0,0,0,0,0,3556,False,673,573,652,1004,654
composed,0,0,12,0,465,0,3071,0,0,3549,False,1146,52,1169,0,1182
residents,0,3542,0,0,0,0,0,0,0,3547,False,766,1227,758,4,792
extended,0,0,1248,1,872,0,1410,0,0,3546,False,1139,159,1145,4,1099
remaining,4,0,187,0,0,3353,0,0,0,3544,False,1115,265,1145,3,1016
fiction,3054,0,122,4,0,0,0,0,0,3541,False,1167,85,1175,2,1112
claim,2099,0,0,555,0,0,0,868,0,3540,False,1079,421,975,0,1065
bay,914,0,1,1,0,0,0,0,0,3530,False,936,661,954,72,907
effort,3521,0,0,1,0,0,0,0,0,3526,False,872,1039,784,10,821
serve,75,0,1,2496,0,0,0,951,0,3525,False,961,591,967,39,967
foundation,1959,0,0,0,0,0,0,0,0,3525,False,922,683,931,9,980
exchange,2901,0,1,147,0,0,0,21,0,3523,False,1101,294,1028,4,1096
price,3465,0,4,17,0,0,0,0,0,3523,False,920,698,933,52,920
sign,2507,0,1,909,0,0,0,43,0,3522,False,741,987,804,179,811
officers,0,3511,0,0,0,0,0,0,0,3521,False,857,987,822,11,844
mountain,2843,0,2,0,0,0,0,0,0,3519,False,848,924,839,171,737
citizens,0,3473,0,0,0,0,0,0,4,3517,False,966,677,1002,2,870
polish,539,2,2157,70,0,0,0,5,0,3510,False,1138,67,1125,45,1135
paid,0,0,0,0,1223,0,2284,0,0,3507,False,797,1121,811,27,751
j,147,7,1,1,0,0,0,1,0,3506,True,977,15,957,556,1001
occurred,3,0,0,0,2753,0,741,0,0,3497,False,1064,353,1045,4,1031
k,1323,127,29,3,0,0,0,0,1,3495,True,1065,60,1052,265,1053
dark,274,0,3185,0,0,0,0,0,0,3492,False,772,672,809,449,790
o,1679,1,6,5,0,0,0,0,0,3491,True,971,28,918,613,961
please,90,0,12,279,0,0,0,87,0,3490,False,115,116,122,3028,109
internal,0,0,3330,0,0,0,0,0,0,3487,False,1125,95,1112,0,1155
standards,0,3281,1,0,0,0,0,0,1,3486,False,937,682,944,0,923
supreme,14,0,91,0,0,0,0,0,0,3486,False,977,461,1041,0,1007
learn,0,0,0,2750,0,0,0,728,0,3478,False,374,1977,342,415,370
60,0,0,0,0,0,0,0,0,0,3472,True,932,737,911,0,892
visit,1692,0,0,1519,0,0,0,255,0,3467,False,647,1070,716,373,661
