word,JJ-0,NN-0
function,0,1
corn,0,1
starring,0,0
latest,0,0
charges,0,0
progress,0,1
transfer,0,1
sought,0,0
musicians,0,0
roll,0,1
keeping,0,0
combat,0,1
praised,1,0
understanding,1,1
authority,0,1
laid,0,0
carolina,0,0
tea,0,1
junior,1,1
entry,0,1
slightly,0,0
oops,0,0
rice,0,1
garden,0,1
details,0,0
thursday,0,1
finals,0,0
heavily,0,0
perfect,1,0
temple,0,1
scheduled,1,0
documentary,0,1
contained,1,0
contemporary,1,0
strike,0,1
abandoned,1,0
protected,1,0
interesting,1,0
purple,1,0
europe,0,1
islands,0,0
electric,1,0
settled,1,0
temperature,0,1
pig,0,1
conservation,0,1
measures,0,0
alternative,1,1
passes,0,0
add,0,0
succeeded,1,0
centers,0,0
methods,0,0
chose,0,0
piano,0,1
reaching,1,0
condition,0,1
mouse,0,1
candidates,0,0
sale,0,1
injuries,0,0
frequently,0,0
degrees,0,0
sky,0,1
giant,1,1
telling,0,0
check,0,1
hungry,1,0
wins,0,0
russian,1,1
sand,0,1
kinds,0,0
opposed,0,0
representative,1,1
sat,0,0
partnership,0,1
flat,1,0
protest,0,1
bronze,0,0
shortly,0,0
identity,0,1
acts,0,0
category,0,1
attempts,0,0
distribution,0,1
publication,0,1
linked,0,0
headed,0,0
adding,0,0
zone,0,1
possibly,0,0
victims,0,0
soft,1,0
bones,0,0
mental,1,0
stayed,0,0
closer,0,0
fresh,1,0
founding,1,0
teens,0,0
offices,0,0
charged,1,0
affected,1,0
secondary,1,0
display,0,1
angry,1,0
exist,0,0
guard,0,1
guest,0,1
represents,0,0
resulting,0,0
roads,0,0
chain,1,1
pool,0,1
consecutive,1,0
achieved,0,0
foods,0,0
minimum,1,0
survived,0,0
centuries,0,0
crowd,0,1
locations,0,0
negative,1,0
sheep,0,1
finishing,1,0
immigration,0,1
protesters,0,0
application,0,1
suggests,0,0
towns,0,0
funds,0,0
gain,0,1
supporting,1,0
exercise,0,1
shut,0,0
loan,0,1
roughly,0,0
castle,0,1
cookies,0,0
del,0,0
concluded,0,0
consider,0,0
defined,1,0
benefits,0,0
extremely,0,0
device,0,1
rose,0,1
choose,0,0
painter,0,1
happening,0,0
david,0,0
intelligence,0,1
pounds,0,0
asking,0,0
flag,0,1
mining,0,0
stick,0,1
successfully,0,0
agriculture,0,1
rooms,0,0
permanent,1,0
registered,1,0
iraq,0,0
populations,0,0
fired,1,0
journalist,0,1
versions,0,0
iron,0,1
joining,0,0
prepared,1,0
falling,0,0
respect,0,1
limit,0,1
skin,0,1
grand,1,0
dream,0,1
theatre,0,1
steps,0,0
anymore,0,0
racing,0,0
northwest,1,0
tie,0,1
chocolate,0,1
cream,0,1
plate,1,1
tough,1,0
dozen,0,0
importance,0,0
hearing,0,0
crash,0,1
differences,0,0
northeast,1,0
feeling,0,1
drawn,0,0
roman,1,1
illegal,1,0
june,0,0
thomas,0,0
agencies,0,0
paying,1,0
babies,0,0
retirement,0,1
weekend,0,1
hop,0,0
cards,0,0
sleeping,0,0
bottle,0,1
structures,0,0
employed,1,0
plastic,1,1
contributed,0,0
compete,0,0
yesterday,0,0
wheel,0,1
(;,0,0
consisted,0,0
fair,1,0
deaths,0,0
